Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                       (9975614,)    38.05M
Parameter18                                           (893,)     3.50K
Parameter19                                           (893,)     3.50K
Parameter20                                           (893,)     3.50K
Parameter21                                         (56973,)   223.00K
Parameter22                                           (638,)     2.50K
Parameter23                                           (638,)     2.50K
Parameter24                                           (638,)     2.50K
Parameter25                                         (35600,)   139.50K
Parameter26                                           (558,)     2.50K
Parameter27                                           (558,)     2.50K
Parameter28                                           (558,)     2.50K
Parameter29                                         (15568,)    61.00K
Parameter30                                           (279,)     1.50K
Parameter31                                           (279,)     1.50K
Parameter32                                           (279,)     1.50K
Parameter33                                          (7784,)    30.50K
Parameter34                                           (279,)     1.50K
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                           (111709,)   436.50K
Tensor38                                        (50, 111709)    21.31M
Tensor39                                             (50, 1)   512.00B
Tensor40                                        (2, 9975614)   152.22M
Tensor41                                          (2, 56973)   890.50K
Tensor42                                          (2, 35600)   556.50K
Tensor43                                          (2, 15568)   243.50K
Tensor44                                           (2, 7784)   122.00K
Parameter45                                             (2,)   512.00B
Parameter46                                         (2, 256)     2.00K
Tensor47                                                (1,)   512.00B
Tensor48                                           (111709,)   436.50K
Tensor49                                           (111709,)   436.50K
Tensor50                                                (1,)   512.00B
Tensor51                                                (1,)   512.00B
Tensor52                                                (1,)   512.00B
Parameter53                                         (256, 1)     1.00K
Parameter54                                           (256,)     1.00K
Parameter55                                       (256, 279)   279.00K
Parameter56                                           (256,)     1.00K
Parameter57                                       (256, 256)   256.00K
Parameter58                                           (256,)     1.00K
Parameter59                                       (256, 256)   256.00K
Parameter60                                           (256,)     1.00K
Parameter61                                         (2, 256)     2.00K
Parameter62                                             (2,)   512.00B
Parameter63                                         (256, 1)     1.00K
Parameter64                                           (256,)     1.00K
Parameter65                                       (256, 279)   279.00K
Parameter66                                           (256,)     1.00K
Parameter67                                       (256, 256)   256.00K
Parameter68                                           (256,)     1.00K
Parameter69                                       (256, 256)   256.00K
Parameter70                                           (256,)     1.00K
Parameter71                                         (2, 256)     2.00K
Parameter72                                             (2,)   512.00B
Parameter73                                         (256, 1)     1.00K
Parameter74                                           (256,)     1.00K
Parameter75                                       (256, 279)   279.00K
Parameter76                                           (256,)     1.00K
Parameter77                                       (256, 256)   256.00K
Parameter78                                           (256,)     1.00K
Parameter79                                       (256, 256)   256.00K
Parameter80                                           (256,)     1.00K
Tensor81                                                (1,)   512.00B
Tensor82                                                (1,)   512.00B
Tensor83                                            (256, 1)     1.00K
Tensor84                                              (256,)     2.00K
Tensor85                                            (2, 256)     2.00K
Tensor86                                                (2,)   512.00B
Tensor87                                            (256, 1)     1.00K
Tensor88                                              (256,)     2.00K
Tensor89                                            (2, 256)     2.00K
Tensor90                                                (2,)   512.00B
Tensor91                                            (256, 1)     1.00K
Tensor92                                              (256,)     2.00K
Tensor93                                            (2, 256)     2.00K
Tensor94                                                (2,)   512.00B
Tensor95                                          (256, 256)   256.00K
Tensor96                                              (256,)     2.00K
Tensor97                                          (256, 256)   256.00K
Tensor98                                              (256,)     2.00K
Tensor99                                          (256, 256)   256.00K
Tensor100                                             (256,)     2.00K
Tensor101                                         (256, 256)   256.00K
Tensor102                                             (256,)     2.00K
Tensor103                                         (256, 256)   256.00K
Tensor104                                             (256,)     2.00K
Tensor105                                         (256, 256)   256.00K
Tensor106                                             (256,)     2.00K
Tensor107                                               (1,)   512.00B
Tensor108                                               (1,)   512.00B
Tensor109                                               (1,)   512.00B
Tensor110                                               (1,)   512.00B
Tensor111                                               (1,)   512.00B
Tensor112                                               (1,)   512.00B
Tensor113                                               (1,)   512.00B
Tensor114                                               (1,)   512.00B
