Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Tensor17                                           (1000, 1)     4.00K
Tensor18                                                (1,)   512.00B
Tensor19                                                (1,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Tensor25                                                (1,)   512.00B
Tensor26                                                (1,)   512.00B
Tensor27                                                (1,)   512.00B
Tensor28                                                (1,)   512.00B
Tensor29                                                (1,)   512.00B
Parameter30                                           (8, 1)   512.00B
Parameter31                                             (8,)   512.00B
Tensor32                                              (8, 1)   512.00B
Parameter33                                           (8, 8)   512.00B
Parameter34                                             (8,)   512.00B
Tensor35                                              (8, 8)   512.00B
Parameter36                                           (2, 8)   512.00B
Parameter37                                             (2,)   512.00B
Tensor38                                              (2, 8)   512.00B
Parameter39                                           (8, 1)   512.00B
Parameter40                                             (8,)   512.00B
Tensor41                                              (8, 1)   512.00B
Parameter42                                           (8, 8)   512.00B
Parameter43                                             (8,)   512.00B
Tensor44                                              (8, 8)   512.00B
Parameter45                                           (2, 8)   512.00B
Parameter46                                             (2,)   512.00B
Tensor47                                              (2, 8)   512.00B
Parameter48                                           (8, 1)   512.00B
Parameter49                                             (8,)   512.00B
Tensor50                                              (8, 1)   512.00B
Parameter51                                           (8, 8)   512.00B
Parameter52                                             (8,)   512.00B
Tensor53                                              (8, 8)   512.00B
Parameter54                                           (2, 8)   512.00B
Parameter55                                             (2,)   512.00B
Tensor56                                              (2, 8)   512.00B
Parameter57                                           (8, 1)   512.00B
Parameter58                                             (8,)   512.00B
Tensor59                                              (8, 1)   512.00B
Parameter60                                           (8, 8)   512.00B
Parameter61                                             (8,)   512.00B
Tensor62                                              (8, 8)   512.00B
Parameter63                                           (2, 8)   512.00B
Parameter64                                             (2,)   512.00B
Tensor65                                              (2, 8)   512.00B
Parameter66                                           (8, 1)   512.00B
Parameter67                                             (8,)   512.00B
Tensor68                                              (8, 1)   512.00B
Parameter69                                           (8, 8)   512.00B
Parameter70                                             (8,)   512.00B
Tensor71                                              (8, 8)   512.00B
Parameter72                                           (2, 8)   512.00B
Parameter73                                             (2,)   512.00B
Tensor74                                              (2, 8)   512.00B
Tensor75                                                (1,)   512.00B
Tensor76                                                (1,)   512.00B
Tensor77                                                (1,)   512.00B
Tensor78                                                (1,)   512.00B
Tensor79                                                (1,)   512.00B
Tensor80                                                (1,)   512.00B
Tensor81                                                (1,)   512.00B
Tensor82                                                (1,)   512.00B
Parameter83                                         (256, 1)     1.00K
Parameter84                                           (256,)     1.00K
Tensor85                                            (256, 1)     1.00K
Tensor86                                              (256,)     2.00K
Parameter87                                      (256, 1117)     1.09M
Parameter88                                           (256,)     1.00K
Parameter89                                       (256, 256)   256.00K
Parameter90                                           (256,)     1.00K
Tensor91                                          (256, 256)   256.00K
Tensor92                                              (256,)     2.00K
Parameter93                                       (256, 256)   256.00K
Parameter94                                           (256,)     1.00K
Tensor95                                          (256, 256)   256.00K
Tensor96                                              (256,)     2.00K
Parameter97                                         (2, 256)     2.00K
Parameter98                                             (2,)   512.00B
Tensor99                                            (2, 256)     2.00K
Tensor100                                               (2,)   512.00B
Tensor101                                               (1,)   512.00B
Parameter102                                        (256, 1)     1.00K
Parameter103                                          (256,)     1.00K
Tensor104                                           (256, 1)     1.00K
Tensor105                                             (256,)     2.00K
Parameter106                                     (256, 1117)     1.09M
Parameter107                                          (256,)     1.00K
Parameter108                                      (256, 256)   256.00K
Parameter109                                          (256,)     1.00K
Tensor110                                         (256, 256)   256.00K
Tensor111                                             (256,)     2.00K
Parameter112                                      (256, 256)   256.00K
Parameter113                                          (256,)     1.00K
