Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                         (11170,)    44.00K
Parameter18                                  (64, 175, 1746)    74.60M
Parameter19                                   (64, 175, 175)     7.48M
Parameter20                                          (2234,)     9.00K
Parameter21                                    (64, 35, 175)     1.50M
Parameter22                                     (64, 35, 35)   306.50K
Parameter23                                          (1117,)     4.50K
Parameter24                                    (16, 70, 140)   612.50K
Parameter25                                     (16, 70, 70)   306.50K
Tensor26                                                (1,)   512.00B
Tensor27                                                (1,)   512.00B
Tensor28                                           (111709,)   436.50K
Tensor29                                        (50, 111709)    21.31M
Tensor30                                             (50, 1)   512.00B
Tensor31                                                (1,)   512.00B
Tensor32                                           (111709,)   436.50K
Tensor33                                           (111709,)   436.50K
Tensor34                                                (1,)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                                (1,)   512.00B
Tensor38                                                (1,)   512.00B
Tensor39                                            (256, 1)     1.00K
Tensor40                                              (256,)     2.00K
Tensor41                                            (2, 256)     2.00K
Tensor42                                                (2,)   512.00B
Tensor43                                            (256, 1)     1.00K
Tensor44                                              (256,)     2.00K
Tensor45                                            (2, 256)     2.00K
Tensor46                                                (2,)   512.00B
Tensor47                                            (256, 1)     1.00K
Tensor48                                              (256,)     2.00K
Tensor49                                            (2, 256)     2.00K
Tensor50                                                (2,)   512.00B
Tensor51                                          (256, 256)   256.00K
Tensor52                                              (256,)     2.00K
Tensor53                                          (256, 256)   256.00K
Tensor54                                              (256,)     2.00K
Tensor55                                          (256, 256)   256.00K
Tensor56                                              (256,)     2.00K
Tensor57                                          (256, 256)   256.00K
Tensor58                                              (256,)     2.00K
Tensor59                                          (256, 256)   256.00K
Tensor60                                              (256,)     2.00K
Tensor61                                          (256, 256)   256.00K
