Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                           (893,)     3.50K
Parameter18                                           (893,)     3.50K
Parameter19                                           (893,)     3.50K
Parameter20                                           (638,)     2.50K
Parameter21                                           (638,)     2.50K
Parameter22                                           (638,)     2.50K
Parameter23                                           (558,)     2.50K
Parameter24                                           (558,)     2.50K
Parameter25                                           (558,)     2.50K
Parameter26                                           (279,)     1.50K
Parameter27                                           (279,)     1.50K
Parameter28                                           (279,)     1.50K
Parameter29                                           (279,)     1.50K
Tensor30                                                (1,)   512.00B
Tensor31                                                (1,)   512.00B
Tensor32                                           (111709,)   436.50K
Tensor33                                        (50, 111709)    21.31M
Tensor34                                             (50, 1)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                           (111709,)   436.50K
Tensor37                                           (111709,)   436.50K
Tensor38                                         (1, 111709)     0.00B
Tensor39                                              (8, 1)   512.00B
Tensor40                                                (8,)   512.00B
Tensor41                                              (8, 8)   512.00B
Tensor42                                                (8,)   512.00B
Tensor43                                              (2, 8)   512.00B
Tensor44                                                (2,)   512.00B
Tensor45                                              (8, 1)   512.00B
Tensor46                                                (8,)   512.00B
Tensor47                                              (8, 8)   512.00B
Tensor48                                                (8,)   512.00B
Tensor49                                              (2, 8)   512.00B
Tensor50                                                (2,)   512.00B
Tensor51                                              (8, 1)   512.00B
Tensor52                                                (8,)   512.00B
Tensor53                                              (8, 8)   512.00B
Tensor54                                                (8,)   512.00B
Tensor55                                              (2, 8)   512.00B
Tensor56                                                (2,)   512.00B
Tensor57                                              (8, 1)   512.00B
Tensor58                                                (8,)   512.00B
Tensor59                                              (8, 8)   512.00B
Tensor60                                                (8,)   512.00B
Tensor61                                              (2, 8)   512.00B
Tensor62                                                (2,)   512.00B
Tensor63                                              (8, 1)   512.00B
Tensor64                                                (8,)   512.00B
Tensor65                                              (8, 8)   512.00B
Tensor66                                                (8,)   512.00B
Tensor67                                              (2, 8)   512.00B
Tensor68                                                (2,)   512.00B
Tensor69                                                (1,)   512.00B
Tensor70                                                (1,)   512.00B
Tensor71                                                (1,)   512.00B
Tensor72                                                (1,)   512.00B
Tensor73                                                (1,)   512.00B
Tensor74                                                (1,)   512.00B
Tensor75                                                (1,)   512.00B
Tensor76                                                (1,)   512.00B
Tensor77                                                (1,)   512.00B
Tensor78                                                (1,)   512.00B
Tensor79                                                (1,)   512.00B
Tensor80                                                (1,)   512.00B
Tensor81                                                (1,)   512.00B
Tensor82                                                (1,)   512.00B
Tensor83                                                (1,)   512.00B
Tensor84                                                (1,)   512.00B
Tensor85                                                (1,)   512.00B
Tensor86                                                (1,)   512.00B
Tensor87                                              (8, 1)   512.00B
Tensor88                                              (8, 8)   512.00B
Tensor89                                              (2, 8)   512.00B
Tensor90                                              (8, 1)   512.00B
Tensor91                                              (8, 8)   512.00B
Tensor92                                              (2, 8)   512.00B
Tensor93                                              (8, 1)   512.00B
Tensor94                                              (8, 8)   512.00B
Tensor95                                              (2, 8)   512.00B
Tensor96                                              (8, 1)   512.00B
Tensor97                                              (8, 8)   512.00B
Tensor98                                              (2, 8)   512.00B
Tensor99                                              (8, 1)   512.00B
Tensor100                                             (8, 8)   512.00B
Tensor101                                             (2, 8)   512.00B
Tensor102                                          (1600, 1)     6.50K
Tensor103                                          (1600, 1)     6.50K
Tensor104                                          (1600, 1)     6.50K
Tensor105                                          (1600, 1)     6.50K
Tensor106                                          (1600, 1)     6.50K
Tensor107                                          (1600, 1)     6.50K
Tensor108                                       (50, 111709)    21.31M
Tensor109                                            (50, 1)   512.00B
Tensor110                                          (1600, 1)     0.00B
Tensor111                                          (1600, 1)     6.50K
Tensor112                                          (1600, 1)     6.50K
Tensor113                                          (1600, 1)     6.50K
